hex_icao,immatriculation,nom,type_appareil,photo_url,photo_page,photo_credit
3b776e,0012,A400M 0012,A400,https://t.plnspttrs.net/40499/1939388_604b05498c_280.jpg,https://www.planespotters.net/photo/1939388/f-rbae-armee-de-lair-et-de-lespace-french-air-and-space-force-airbus-a400m-180?utm_source=api,Thomas Schmidt-Blindenhöfer
3b776d,0014,A400M 0014,A400,https://t.plnspttrs.net/38738/1226276_a2a6594086_280.jpg,https://www.planespotters.net/photo/1226276/f-rbaf-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,Adolfo Bento de Urquía
3b776c,0019,A400M 0019,A400,https://t.plnspttrs.net/28184/1871997_c0b5cbe76c_280.jpg,https://www.planespotters.net/photo/1871997/f-rbag-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,Alexander Ufer
3b776b,0031,A400M 0031,A400,https://t.plnspttrs.net/04430/1414467_a011917d38_280.jpg,https://www.planespotters.net/photo/1414467/f-rbah-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,Martín Marrero
3b776a,0033,A400M 0033,A400,https://t.plnspttrs.net/48140/995007_49bc3d5fa7_280.jpg,https://www.planespotters.net/photo/995007/f-rbai-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,LEDUC Bertrand
3b7769,0037,A400M 0037,A400,https://t.plnspttrs.net/45797/1946760_a6dbf69f4a_280.jpg,https://www.planespotters.net/photo/1946760/f-rbaj-armee-de-lair-et-de-lespace-french-air-and-space-force-airbus-a400m-180?utm_source=api,William Verguet
3b7768,0053,A400M 0053,A400,https://t.plnspttrs.net/18285/1245122_a59aecd33d_280.jpg,https://www.planespotters.net/photo/1245122/f-rbak-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,Owen Yue
3b7767,0062,A400M 0062,A400,https://t.plnspttrs.net/47787/1784884_7d693bd8f8_280.jpg,https://www.planespotters.net/photo/1784884/f-rbal-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,Alejandro Hernández León
3b7766,0065,A400M 0065,A400,https://t.plnspttrs.net/44371/1487216_910ab0c069_280.jpg,https://www.planespotters.net/photo/1487216/f-rbam-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,Andreas Fietz
3b7765,0073,A400M 0073,A400,https://t.plnspttrs.net/35959/1820519_bf99766420_280.jpg,https://www.planespotters.net/photo/1820519/f-rban-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,Pierre-Ronan Patru
3b775b,0075,A400M 0075,A400,https://t.plnspttrs.net/45109/1911811_89502228bd_280.jpg,https://www.planespotters.net/photo/1911811/f-rbat-armee-de-lair-french-air-force-airbus-a400m-180?utm_source=api,DF4D0174
