horodatage_detection_utc,latitude,longitude,puissance_frp_megawatts,satellite,jour_nuit
2026-07-19T13:27:00.000Z,44.67924,-0.444,10.96,N,D
2026-07-20T01:07:00.000Z,44.79877,-1.10839,2.82,N21,N
2026-07-20T01:43:00.000Z,44.80055,-1.10841,13.7,N,N
2026-07-20T01:43:00.000Z,44.80473,-1.10765,0.59,N,N
2026-07-20T02:04:00.000Z,44.79636,-1.10994,4.32,N20,N
2026-07-20T02:04:00.000Z,44.79966,-1.10899,4.32,N20,N
2026-07-20T02:04:00.000Z,44.80225,-1.10314,0.79,N20,N
2026-07-20T02:04:00.000Z,44.80296,-1.10804,0.79,N20,N
2026-07-21T00:50:00.000Z,45.26548,-0.18192,13.06,N21,N
2026-07-21T00:50:00.000Z,45.2655,-0.17281,13.06,N21,N
2026-07-21T00:50:00.000Z,45.26614,-0.18575,22.91,N21,N
2026-07-21T00:50:00.000Z,45.2662,-0.17678,25.82,N21,N
2026-07-21T00:50:00.000Z,45.27232,-0.18167,13.06,N21,N
2026-07-21T00:50:00.000Z,45.27298,-0.18559,2.6,N21,N
2026-07-21T00:50:00.000Z,45.27305,-0.17657,2.64,N21,N
2026-07-21T01:26:00.000Z,45.26393,-0.18359,8.29,N,N
2026-07-21T01:26:00.000Z,45.26878,-0.17863,13.05,N,N
2026-07-21T01:26:00.000Z,45.26902,-0.18288,8.29,N,N
2026-07-21T01:43:00.000Z,45.26537,-0.1779,7.23,N20,N
2026-07-21T01:43:00.000Z,45.26599,-0.17763,9.1,N20,N
2026-07-21T01:43:00.000Z,45.26609,-0.18428,7.23,N20,N
2026-07-21T01:43:00.000Z,45.26668,-0.18402,8.14,N20,N
2026-07-21T01:43:00.000Z,45.2691,-0.17703,7.23,N20,N
2026-07-21T01:43:00.000Z,45.26971,-0.17676,9.1,N20,N
2026-07-21T01:43:00.000Z,45.26981,-0.18341,7.23,N20,N
2026-07-21T01:43:00.000Z,45.2704,-0.18314,8.14,N20,N
2026-07-21T01:43:00.000Z,45.27344,-0.17588,0.38,N20,N
2026-07-21T02:30:00.000Z,45.26512,-0.17699,1.86,N21,N
2026-07-21T02:30:00.000Z,45.26619,-0.18172,4.57,N21,N
2026-07-21T02:30:00.000Z,45.26899,-0.17529,7.93,N21,N
2026-07-21T02:30:00.000Z,45.27005,-0.18005,19.49,N21,N
2026-07-21T03:06:00.000Z,45.26543,-0.17939,3.87,N,N
2026-07-21T03:06:00.000Z,45.26674,-0.18392,3.87,N,N
2026-07-21T03:06:00.000Z,45.27052,-0.1766,9.47,N,N
2026-07-21T03:06:00.000Z,45.27183,-0.18114,9.47,N,N
2026-07-21T03:23:00.000Z,45.26544,-0.17978,2.52,N20,N
2026-07-21T03:23:00.000Z,45.26843,-0.18806,1.76,N20,N
2026-07-21T03:23:00.000Z,45.27178,-0.17557,3.38,N20,N
2026-07-21T12:14:00.000Z,44.529,0.13058,5.47,N21,D
2026-07-21T12:14:00.000Z,44.52919,0.12778,2.67,N21,D
2026-07-21T12:14:00.000Z,44.53324,0.12881,5.47,N21,D
2026-07-21T12:14:00.000Z,44.82342,-0.55596,6.21,N21,D
2026-07-21T12:14:00.000Z,44.82927,-0.68735,5.19,N21,D
2026-07-21T12:51:00.000Z,44.1908,0.13906,5.4,N,D
2026-07-21T12:51:00.000Z,44.19368,0.14041,11.19,N,D
2026-07-21T12:51:00.000Z,44.19416,0.13789,5.4,N,D
2026-07-21T12:51:00.000Z,44.82342,-0.68957,190.53,N,D
2026-07-21T12:51:00.000Z,44.82439,-0.68433,284.9,N,D
2026-07-21T13:10:00.000Z,44.19286,0.13889,1.41,N20,D
2026-07-21T13:10:00.000Z,44.82238,-0.69099,86.69,N20,D
2026-07-21T13:10:00.000Z,44.82305,-0.68567,41.14,N20,D
2026-07-21T13:10:00.000Z,44.82582,-0.69185,49.94,N20,D
2026-07-21T13:10:00.000Z,44.82649,-0.68652,58.03,N20,D
2026-07-21T13:55:00.000Z,44.40277,-0.29319,27.03,N21,D
2026-07-21T13:55:00.000Z,44.40287,-0.28641,25.37,N21,D
2026-07-21T13:55:00.000Z,44.40477,-0.29167,41.51,N21,D
2026-07-21T13:55:00.000Z,44.82613,-0.6906,23.18,N21,D
2026-07-21T13:55:00.000Z,44.82639,-0.68912,23.18,N21,D
2026-07-22T11:55:00.000Z,44.66666,-0.73529,6.04,N21,D
2026-07-22T11:55:00.000Z,44.66864,-0.73532,8.34,N21,D
2026-07-22T11:55:00.000Z,44.90122,-1.03395,38.87,N21,D
2026-07-22T11:55:00.000Z,44.90275,-1.02882,38.87,N21,D
2026-07-22T11:55:00.000Z,44.90429,-1.02367,27.16,N21,D
2026-07-22T12:32:00.000Z,44.89661,-1.02658,58.0,N,D
2026-07-22T12:32:00.000Z,44.89784,-1.02128,58.0,N,D
2026-07-22T12:32:00.000Z,44.89945,-1.03375,103.97,N,D
2026-07-22T12:32:00.000Z,44.90067,-1.02846,58.0,N,D
2026-07-22T12:32:00.000Z,44.9019,-1.02317,58.0,N,D
