jour,archive_source,ingere_le_utc,nombre_points
2026-07-22,v2026.07.22-planes-readsb-prod-0,2026-07-27T19:23:06+00:00,34232
2026-07-23,v2026.07.23-planes-readsb-prod-0,2026-07-27T18:57:52+00:00,40643
2026-07-24,v2026.07.24-planes-readsb-prod-0,2026-07-27T18:31:46+00:00,41820
2026-07-25,v2026.07.25-planes-readsb-prod-0,2026-07-27T18:05:38+00:00,38226
2026-07-26,v2026.07.26-planes-readsb-prod-0,2026-07-27T17:42:36+00:00,50545
2026-07-27,v2026.07.27-planes-readsb-prod-0,2026-07-28T06:00:40+00:00,59888
2026-07-28,v2026.07.28-planes-readsb-prod-0,2026-07-29T06:00:44+00:00,51991
2026-07-29,v2026.07.29-planes-readsb-prod-0,2026-07-30T06:00:49+00:00,65696
2026-07-30,v2026.07.30-planes-readsb-prod-0,2026-07-31T06:00:45+00:00,65224
2026-07-31,v2026.07.31-planes-readsb-prod-0,2026-08-01T06:00:49+00:00,60864
