hex_icao,immatriculation,nom,horodatage_utc,latitude,longitude,altitude_pieds,au_sol,vitesse_sol_noeuds,cap_degres
3b776b,0031,A400M 0031,2026-07-22T01:59:26.480Z,19.663696,-156.265166,31975,0,406.0,316.6
3b776b,0031,A400M 0031,2026-07-22T01:59:44.270Z,19.687408,-156.288855,31975,0,406.0,316.6
3b776b,0031,A400M 0031,2026-07-22T02:00:00.360Z,19.710617,-156.312103,31975,0,406.7,316.5
3b776b,0031,A400M 0031,2026-07-22T02:00:19.090Z,19.735474,-156.33697,31975,0,406.7,316.5
3b776b,0031,A400M 0031,2026-07-22T02:00:38.190Z,19.761658,-156.363165,31975,0,406.0,316.6
3b776b,0031,A400M 0031,2026-07-22T02:00:57.640Z,19.787634,-156.389182,31975,0,405.3,316.5
3b776b,0031,A400M 0031,2026-07-22T02:01:15.910Z,19.813657,-156.4153,31975,0,403.9,316.5
3b776b,0031,A400M 0031,2026-07-22T02:01:34.020Z,19.838283,-156.439969,31975,0,403.2,316.4
3b776b,0031,A400M 0031,2026-07-22T02:01:52.480Z,19.862686,-156.46444,31900,0,399.7,316.5
3b776b,0031,A400M 0031,2026-07-22T02:02:08.970Z,19.884476,-156.486315,31625,0,399.7,316.5
3b776b,0031,A400M 0031,2026-07-22T02:02:19.410Z,19.899399,-156.501274,31475,0,399.7,316.5
3b776b,0031,A400M 0031,2026-07-22T02:02:37.150Z,19.922542,-156.524514,31250,0,401.8,316.4
3b776b,0031,A400M 0031,2026-07-22T02:02:55.250Z,19.946889,-156.548983,30975,0,404.6,316.4
3b776b,0031,A400M 0031,2026-07-22T02:03:14.480Z,19.974335,-156.57656,30725,0,406.7,316.5
3b776b,0031,A400M 0031,2026-07-22T02:03:39.620Z,20.00885,-156.611256,30350,0,406.7,316.5
3b776b,0031,A400M 0031,2026-07-22T02:03:57.400Z,20.032312,-156.634827,30125,0,409.6,316.5
3b776b,0031,A400M 0031,2026-07-22T02:04:04.730Z,20.042042,-156.644664,30000,0,411.0,316.5
3b776b,0031,A400M 0031,2026-07-22T02:04:20.210Z,20.06434,-156.667087,29775,0,412.4,316.5
3b776b,0031,A400M 0031,2026-07-22T02:04:38.950Z,20.089572,-156.692505,29525,0,413.1,316.4
3b776b,0031,A400M 0031,2026-07-22T02:04:56.860Z,20.114639,-156.717764,29275,0,413.1,316.4
3b776b,0031,A400M 0031,2026-07-22T02:05:14.600Z,20.139848,-156.743192,29025,0,413.1,316.4
3b776b,0031,A400M 0031,2026-07-22T02:05:31.830Z,20.163543,-156.767062,28775,0,413.8,316.5
3b776b,0031,A400M 0031,2026-07-22T02:05:50.390Z,20.188751,-156.79251,28525,0,415.9,316.4
3b776b,0031,A400M 0031,2026-07-22T02:06:07.580Z,20.212889,-156.8169,28275,0,418.7,316.4
3b776b,0031,A400M 0031,2026-07-22T02:06:26.850Z,20.241211,-156.84548,28000,0,418.7,316.4
3b776b,0031,A400M 0031,2026-07-22T02:06:45.560Z,20.266754,-156.871229,27750,0,418.0,316.5
3b776b,0031,A400M 0031,2026-07-22T02:07:02.620Z,20.290604,-156.89536,27500,0,415.9,316.4
3b776b,0031,A400M 0031,2026-07-22T02:07:20.920Z,20.315862,-156.920921,27250,0,417.3,316.4
3b776b,0031,A400M 0031,2026-07-22T02:07:38.650Z,20.341415,-156.946809,27000,0,418.0,316.3
3b776b,0031,A400M 0031,2026-07-22T02:07:57.700Z,20.368187,-156.973905,26725,0,415.9,316.4
3b776b,0031,A400M 0031,2026-07-22T02:08:16.780Z,20.393977,-156.999972,26475,0,413.8,316.3
3b776b,0031,A400M 0031,2026-07-22T02:08:33.520Z,20.417313,-157.023664,26225,0,418.0,316.3
