horodatage_utc,latitude,longitude,indice_qualite_air_europeen
2026-07-22T00:00:00.000Z,43.6,-1.4,23.0
2026-07-22T00:00:00.000Z,43.6,-1.0,22.0
2026-07-22T00:00:00.000Z,43.6,-0.6,23.0
2026-07-22T00:00:00.000Z,43.6,-0.2,25.0
2026-07-22T00:00:00.000Z,44.0,-1.4,33.0
2026-07-22T00:00:00.000Z,44.0,-1.0,30.0
2026-07-22T00:00:00.000Z,44.0,-0.6,30.0
2026-07-22T00:00:00.000Z,44.0,-0.2,31.0
2026-07-22T00:00:00.000Z,44.4,-1.4,34.0
2026-07-22T00:00:00.000Z,44.4,-1.0,31.0
2026-07-22T00:00:00.000Z,44.4,-0.6,33.0
2026-07-22T00:00:00.000Z,44.4,-0.2,29.0
2026-07-22T00:00:00.000Z,44.8,-1.4,33.0
2026-07-22T00:00:00.000Z,44.8,-1.0,32.0
2026-07-22T00:00:00.000Z,44.8,-0.6,33.0
2026-07-22T00:00:00.000Z,44.8,-0.2,32.0
2026-07-22T00:00:00.000Z,45.2,-1.4,36.0
2026-07-22T00:00:00.000Z,45.2,-1.0,31.0
2026-07-22T00:00:00.000Z,45.2,-0.6,31.0
2026-07-22T00:00:00.000Z,45.2,-0.2,32.0
2026-07-22T01:00:00.000Z,43.6,-1.4,24.0
2026-07-22T01:00:00.000Z,43.6,-1.0,23.0
2026-07-22T01:00:00.000Z,43.6,-0.6,22.0
2026-07-22T01:00:00.000Z,43.6,-0.2,23.0
2026-07-22T01:00:00.000Z,44.0,-1.4,32.0
2026-07-22T01:00:00.000Z,44.0,-1.0,28.0
2026-07-22T01:00:00.000Z,44.0,-0.6,29.0
2026-07-22T01:00:00.000Z,44.0,-0.2,30.0
2026-07-22T01:00:00.000Z,44.4,-1.4,33.0
2026-07-22T01:00:00.000Z,44.4,-1.0,29.0
2026-07-22T01:00:00.000Z,44.4,-0.6,31.0
2026-07-22T01:00:00.000Z,44.4,-0.2,27.0
2026-07-22T01:00:00.000Z,44.8,-1.4,32.0
2026-07-22T01:00:00.000Z,44.8,-1.0,30.0
2026-07-22T01:00:00.000Z,44.8,-0.6,32.0
2026-07-22T01:00:00.000Z,44.8,-0.2,30.0
2026-07-22T01:00:00.000Z,45.2,-1.4,35.0
2026-07-22T01:00:00.000Z,45.2,-1.0,30.0
2026-07-22T01:00:00.000Z,45.2,-0.6,30.0
2026-07-22T01:00:00.000Z,45.2,-0.2,30.0
2026-07-22T02:00:00.000Z,43.6,-1.4,22.0
2026-07-22T02:00:00.000Z,43.6,-1.0,22.0
2026-07-22T02:00:00.000Z,43.6,-0.6,21.0
2026-07-22T02:00:00.000Z,43.6,-0.2,22.0
2026-07-22T02:00:00.000Z,44.0,-1.4,30.0
2026-07-22T02:00:00.000Z,44.0,-1.0,28.0
2026-07-22T02:00:00.000Z,44.0,-0.6,27.0
2026-07-22T02:00:00.000Z,44.0,-0.2,29.0
2026-07-22T02:00:00.000Z,44.4,-1.4,32.0
2026-07-22T02:00:00.000Z,44.4,-1.0,29.0
2026-07-22T02:00:00.000Z,44.4,-0.6,31.0
2026-07-22T02:00:00.000Z,44.4,-0.2,26.0
2026-07-22T02:00:00.000Z,44.8,-1.4,31.0
2026-07-22T02:00:00.000Z,44.8,-1.0,30.0
2026-07-22T02:00:00.000Z,44.8,-0.6,30.0
2026-07-22T02:00:00.000Z,44.8,-0.2,29.0
2026-07-22T02:00:00.000Z,45.2,-1.4,34.0
2026-07-22T02:00:00.000Z,45.2,-1.0,29.0
2026-07-22T02:00:00.000Z,45.2,-0.6,29.0
2026-07-22T02:00:00.000Z,45.2,-0.2,27.0
2026-07-22T03:00:00.000Z,43.6,-1.4,22.0
2026-07-22T03:00:00.000Z,43.6,-1.0,21.0
2026-07-22T03:00:00.000Z,43.6,-0.6,21.0
2026-07-22T03:00:00.000Z,43.6,-0.2,22.0
2026-07-22T03:00:00.000Z,44.0,-1.4,28.0
2026-07-22T03:00:00.000Z,44.0,-1.0,27.0
2026-07-22T03:00:00.000Z,44.0,-0.6,26.0
2026-07-22T03:00:00.000Z,44.0,-0.2,28.0
2026-07-22T03:00:00.000Z,44.4,-1.4,30.0
2026-07-22T03:00:00.000Z,44.4,-1.0,28.0
2026-07-22T03:00:00.000Z,44.4,-0.6,30.0
2026-07-22T03:00:00.000Z,44.4,-0.2,25.0
2026-07-22T03:00:00.000Z,44.8,-1.4,30.0
2026-07-22T03:00:00.000Z,44.8,-1.0,28.0
2026-07-22T03:00:00.000Z,44.8,-0.6,29.0
2026-07-22T03:00:00.000Z,44.8,-0.2,28.0
2026-07-22T03:00:00.000Z,45.2,-1.4,34.0
2026-07-22T03:00:00.000Z,45.2,-1.0,28.0
2026-07-22T03:00:00.000Z,45.2,-0.6,28.0
2026-07-22T03:00:00.000Z,45.2,-0.2,27.0
2026-07-22T04:00:00.000Z,43.6,-1.4,21.0
2026-07-22T04:00:00.000Z,43.6,-1.0,20.0
2026-07-22T04:00:00.000Z,43.6,-0.6,20.0
2026-07-22T04:00:00.000Z,43.6,-0.2,20.0
2026-07-22T04:00:00.000Z,44.0,-1.4,28.0
2026-07-22T04:00:00.000Z,44.0,-1.0,26.0
2026-07-22T04:00:00.000Z,44.0,-0.6,25.0
2026-07-22T04:00:00.000Z,44.0,-0.2,27.0
2026-07-22T04:00:00.000Z,44.4,-1.4,30.0
2026-07-22T04:00:00.000Z,44.4,-1.0,27.0
2026-07-22T04:00:00.000Z,44.4,-0.6,28.0
2026-07-22T04:00:00.000Z,44.4,-0.2,26.0
2026-07-22T04:00:00.000Z,44.8,-1.4,30.0
2026-07-22T04:00:00.000Z,44.8,-1.0,27.0
2026-07-22T04:00:00.000Z,44.8,-0.6,28.0
2026-07-22T04:00:00.000Z,44.8,-0.2,27.0
2026-07-22T04:00:00.000Z,45.2,-1.4,33.0
2026-07-22T04:00:00.000Z,45.2,-1.0,27.0
2026-07-22T04:00:00.000Z,45.2,-0.6,27.0
2026-07-22T04:00:00.000Z,45.2,-0.2,26.0
2026-07-22T05:00:00.000Z,43.6,-1.4,21.0
2026-07-22T05:00:00.000Z,43.6,-1.0,20.0
2026-07-22T05:00:00.000Z,43.6,-0.6,19.0
2026-07-22T05:00:00.000Z,43.6,-0.2,18.0
2026-07-22T05:00:00.000Z,44.0,-1.4,27.0
2026-07-22T05:00:00.000Z,44.0,-1.0,24.0
2026-07-22T05:00:00.000Z,44.0,-0.6,24.0
2026-07-22T05:00:00.000Z,44.0,-0.2,25.0
2026-07-22T05:00:00.000Z,44.4,-1.4,30.0
2026-07-22T05:00:00.000Z,44.4,-1.0,26.0
2026-07-22T05:00:00.000Z,44.4,-0.6,27.0
2026-07-22T05:00:00.000Z,44.4,-0.2,25.0
2026-07-22T05:00:00.000Z,44.8,-1.4,30.0
2026-07-22T05:00:00.000Z,44.8,-1.0,25.0
2026-07-22T05:00:00.000Z,44.8,-0.6,26.0
2026-07-22T05:00:00.000Z,44.8,-0.2,26.0
2026-07-22T05:00:00.000Z,45.2,-1.4,32.0
2026-07-22T05:00:00.000Z,45.2,-1.0,25.0
2026-07-22T05:00:00.000Z,45.2,-0.6,26.0
2026-07-22T05:00:00.000Z,45.2,-0.2,26.0
2026-07-22T06:00:00.000Z,43.6,-1.4,20.0
2026-07-22T06:00:00.000Z,43.6,-1.0,18.0
2026-07-22T06:00:00.000Z,43.6,-0.6,18.0
2026-07-22T06:00:00.000Z,43.6,-0.2,18.0
