horodatage_utc,vitesse_vent_kmh,direction_origine_vent_degres
2026-07-22T00:00:00.000Z,14.4,50.0
2026-07-22T01:00:00.000Z,13.9,51.0
2026-07-22T02:00:00.000Z,13.4,53.0
2026-07-22T03:00:00.000Z,12.3,51.0
2026-07-22T04:00:00.000Z,12.4,48.0
2026-07-22T05:00:00.000Z,12.3,44.0
2026-07-22T06:00:00.000Z,13.5,46.0
2026-07-22T07:00:00.000Z,10.3,57.0
2026-07-22T08:00:00.000Z,11.3,56.0
2026-07-22T09:00:00.000Z,10.8,60.0
2026-07-22T10:00:00.000Z,11.2,60.0
2026-07-22T11:00:00.000Z,12.3,60.0
2026-07-22T12:00:00.000Z,13.0,63.0
2026-07-22T13:00:00.000Z,11.8,62.0
2026-07-22T14:00:00.000Z,12.3,58.0
2026-07-22T15:00:00.000Z,13.1,54.0
2026-07-22T16:00:00.000Z,12.7,51.0
2026-07-22T17:00:00.000Z,11.2,49.0
2026-07-22T18:00:00.000Z,10.5,38.0
2026-07-22T19:00:00.000Z,9.4,18.0
2026-07-22T20:00:00.000Z,11.7,20.0
2026-07-22T21:00:00.000Z,12.0,28.0
2026-07-22T22:00:00.000Z,13.2,32.0
2026-07-22T23:00:00.000Z,13.2,38.0
2026-07-23T00:00:00.000Z,13.0,45.0
2026-07-23T01:00:00.000Z,10.7,49.0
2026-07-23T02:00:00.000Z,10.7,46.0
2026-07-23T03:00:00.000Z,11.6,46.0
2026-07-23T04:00:00.000Z,12.5,44.0
2026-07-23T05:00:00.000Z,11.5,45.0
2026-07-23T06:00:00.000Z,10.5,51.0
2026-07-23T07:00:00.000Z,8.0,48.0
2026-07-23T08:00:00.000Z,8.3,48.0
2026-07-23T09:00:00.000Z,9.2,45.0
2026-07-23T10:00:00.000Z,10.5,49.0
2026-07-23T11:00:00.000Z,11.1,53.0
2026-07-23T12:00:00.000Z,9.6,52.0
2026-07-23T13:00:00.000Z,7.6,43.0
2026-07-23T14:00:00.000Z,5.5,11.0
2026-07-23T15:00:00.000Z,7.2,12.0
2026-07-23T16:00:00.000Z,11.3,31.0
2026-07-23T17:00:00.000Z,13.7,34.0
2026-07-23T18:00:00.000Z,13.5,34.0
2026-07-23T19:00:00.000Z,10.9,27.0
2026-07-23T20:00:00.000Z,10.2,23.0
2026-07-23T21:00:00.000Z,10.9,27.0
2026-07-23T22:00:00.000Z,12.7,38.0
2026-07-23T23:00:00.000Z,12.6,48.0
2026-07-24T00:00:00.000Z,14.3,56.0
2026-07-24T01:00:00.000Z,12.8,62.0
2026-07-24T02:00:00.000Z,12.5,63.0
2026-07-24T03:00:00.000Z,12.2,66.0
2026-07-24T04:00:00.000Z,12.7,65.0
2026-07-24T05:00:00.000Z,12.6,63.0
2026-07-24T06:00:00.000Z,13.1,67.0
2026-07-24T07:00:00.000Z,11.5,63.0
2026-07-24T08:00:00.000Z,10.9,68.0
2026-07-24T09:00:00.000Z,10.8,69.0
2026-07-24T10:00:00.000Z,11.6,75.0
2026-07-24T11:00:00.000Z,11.7,81.0
2026-07-24T12:00:00.000Z,9.4,97.0
2026-07-24T13:00:00.000Z,5.9,101.0
2026-07-24T14:00:00.000Z,2.7,42.0
2026-07-24T15:00:00.000Z,12.1,272.0
2026-07-24T16:00:00.000Z,21.3,273.0
2026-07-24T17:00:00.000Z,15.0,284.0
2026-07-24T18:00:00.000Z,15.1,253.0
2026-07-24T19:00:00.000Z,15.2,248.0
2026-07-24T20:00:00.000Z,11.4,258.0
2026-07-24T21:00:00.000Z,11.6,208.0
2026-07-24T22:00:00.000Z,13.7,237.0
2026-07-24T23:00:00.000Z,8.4,223.0
2026-07-25T00:00:00.000Z,8.8,219.0
2026-07-25T01:00:00.000Z,13.8,221.0
2026-07-25T02:00:00.000Z,15.1,242.0
2026-07-25T03:00:00.000Z,17.2,252.0
2026-07-25T04:00:00.000Z,14.3,256.0
2026-07-25T05:00:00.000Z,13.6,255.0
2026-07-25T06:00:00.000Z,15.9,245.0
2026-07-25T07:00:00.000Z,21.2,250.0
2026-07-25T08:00:00.000Z,22.0,250.0
2026-07-25T09:00:00.000Z,17.9,251.0
2026-07-25T10:00:00.000Z,13.2,268.0
2026-07-25T11:00:00.000Z,12.6,226.0
2026-07-25T12:00:00.000Z,9.5,201.0
2026-07-25T13:00:00.000Z,12.2,237.0
2026-07-25T14:00:00.000Z,15.7,283.0
2026-07-25T15:00:00.000Z,17.3,286.0
2026-07-25T16:00:00.000Z,17.7,295.0
2026-07-25T17:00:00.000Z,19.1,298.0
2026-07-25T18:00:00.000Z,21.5,315.0
2026-07-25T19:00:00.000Z,20.8,305.0
2026-07-25T20:00:00.000Z,17.8,296.0
2026-07-25T21:00:00.000Z,16.3,298.0
2026-07-25T22:00:00.000Z,15.6,296.0
2026-07-25T23:00:00.000Z,14.4,292.0
2026-07-26T00:00:00.000Z,16.5,292.0
2026-07-26T01:00:00.000Z,15.5,297.0
2026-07-26T02:00:00.000Z,13.9,295.0
2026-07-26T03:00:00.000Z,12.6,295.0
